U+0009, CHARACTER TABULATION                   , Tab
U+2A2A, MINUS SIGN WITH DOT BELOW              , minusdu
U+2A2D, PLUS SIGN IN LEFT HALF CIRCLE          , loplus
U+2A2E, PLUS SIGN IN RIGHT HALF CIRCLE         , roplus
U+2A2F, VECTOR OR CROSS PRODUCT                , Cross
U+2A30, MULTIPLICATION SIGN WITH DOT ABOVE     , timesd
U+2A31, MULTIPLICATION SIGN WITH UNDERBAR      , timesbar
U+2A33, SMASH PRODUCT                          , smashp
U+2A34, MULTIPLICATION SIGN IN LEFT HALF CIRCLE, lotimes
U+2A35, MULTIPLICATION SIGN IN RIGHT HALF CIRCLE, rotimes
U+2A36, CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT, otimesas
U+2A37, MULTIPLICATION SIGN IN DOUBLE CIRCLE   , Otimes
U+2A38, CIRCLED DIVISION SIGN                  , odiv
U+2A39, PLUS SIGN IN TRIANGLE                  , triplus
U+2A3A, MINUS SIGN IN TRIANGLE                 , triminus
U+2A3B, MULTIPLICATION SIGN IN TRIANGLE        , tritime
U+2A3C, INTERIOR PRODUCT                       , iprod, intprod
U+2A3F, AMALGAMATION OR COPRODUCT              , amalg
U+2A40, INTERSECTION WITH DOT                  , capdot
U+2A42, UNION WITH OVERBAR                     , ncup
U+2A43, INTERSECTION WITH OVERBAR              , ncap
U+2A44, INTERSECTION WITH LOGICAL AND          , capand
U+2A45, UNION WITH LOGICAL OR                  , cupor
U+2A46, UNION ABOVE INTERSECTION               , cupcap
U+2A47, INTERSECTION ABOVE UNION               , capcup
U+2A48, UNION ABOVE BAR ABOVE INTERSECTION     , cupbrcap
U+2A49, INTERSECTION ABOVE BAR ABOVE UNION     , capbrcup
U+2A4A, UNION BESIDE AND JOINED WITH UNION     , cupcup
U+2A4B, INTERSECTION BESIDE AND JOINED WITH INTERSECTION, capcap
U+2A4C, CLOSED UNION WITH SERIFS               , ccups
U+2A4D, CLOSED INTERSECTION WITH SERIFS        , ccaps
U+2A50, CLOSED UNION WITH SERIFS AND SMASH PRODUCT, ccupssm
U+2A53, DOUBLE LOGICAL AND                     , And
U+2A54, DOUBLE LOGICAL OR                      , Or
U+2A55, TWO INTERSECTING LOGICAL AND           , andand
U+2A56, TWO INTERSECTING LOGICAL OR            , oror
U+2A57, SLOPING LARGE OR                       , orslope
U+2A58, SLOPING LARGE AND                      , andslope
U+2A5A, LOGICAL AND WITH MIDDLE STEM           , andv
U+2A5B, LOGICAL OR WITH MIDDLE STEM            , orv
U+2A5C, LOGICAL AND WITH HORIZONTAL DASH       , andd
U+2A5D, LOGICAL OR WITH HORIZONTAL DASH        , ord
U+2A5F, LOGICAL AND WITH UNDERBAR              , wedbar
U+2A66, EQUALS SIGN WITH DOT BELOW             , sdote
U+2A6A, TILDE OPERATOR WITH DOT ABOVE          , simdot
U+2A6D, CONGRUENT WITH DOT ABOVE               , congdot
U+2A6D U+0338, CONGRUENT WITH DOT ABOVE with slash    , ncongdot
U+2A6E, EQUALS WITH ASTERISK                   , easter
U+2A6F, ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT , apacir
U+2A70, APPROXIMATELY EQUAL OR EQUAL TO        , apE
U+2A70 U+0338, APPROXIMATELY EQUAL OR EQUAL TO with slash, napE
U+2A71, EQUALS SIGN ABOVE PLUS SIGN            , eplus
U+2A72, PLUS SIGN ABOVE EQUALS SIGN            , pluse
U+2A73, EQUALS SIGN ABOVE TILDE OPERATOR       , Esim
U+2A74, DOUBLE COLON EQUAL                     , Colone
U+2A75, TWO CONSECUTIVE EQUALS SIGNS           , Equal
U+2A77, EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW, eDDot, ddotseq
U+2A78, EQUIVALENT WITH FOUR DOTS ABOVE        , equivDD
U+2A79, LESS-THAN WITH CIRCLE INSIDE           , ltcir
U+2A7A, GREATER-THAN WITH CIRCLE INSIDE        , gtcir
U+2A7B, LESS-THAN WITH QUESTION MARK ABOVE     , ltquest
U+2A7C, GREATER-THAN WITH QUESTION MARK ABOVE  , gtquest
U+2A7D, LESS-THAN OR SLANTED EQUAL TO          , les, LessSlantEqual, leqslant
U+2A7D U+0338, LESS-THAN OR SLANTED EQUAL TO with slash, nles, NotLessSlantEqual, nleqslant
U+2A7E, GREATER-THAN OR SLANTED EQUAL TO       , ges, GreaterSlantEqual, geqslant
U+2A7E U+0338, GREATER-THAN OR SLANTED EQUAL TO with slash, nges, NotGreaterSlantEqual, ngeqslant
U+2A7F, LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE, lesdot
U+2A80, GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE, gesdot
U+2A81, LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE, lesdoto
U+2A82, GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE, gesdoto
U+2A83, LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT, lesdotor
U+2A84, GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT, gesdotol
U+2A85, LESS-THAN OR APPROXIMATE               , lap, lessapprox
U+2A86, GREATER-THAN OR APPROXIMATE            , gap, gtrapprox
U+2A87, LESS-THAN AND SINGLE-LINE NOT EQUAL TO , lne, lneq
U+2A88, GREATER-THAN AND SINGLE-LINE NOT EQUAL TO, gne, gneq
U+2A89, LESS-THAN AND NOT APPROXIMATE          , lnap, lnapprox
U+2A8A, GREATER-THAN AND NOT APPROXIMATE       , gnap, gnapprox
U+2A8B, LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN, lEg, lesseqqgtr
U+2A8C, GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN, gEl, gtreqqless
U+2A8D, LESS-THAN ABOVE SIMILAR OR EQUAL       , lsime
U+2A8E, GREATER-THAN ABOVE SIMILAR OR EQUAL    , gsime
U+2A8F, LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN, lsimg
U+2A90, GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN, gsiml
U+2A91, LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL, lgE
U+2A92, GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL, glE
U+2A93, LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL, lesges
U+2A94, GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL, gesles
U+2A95, SLANTED EQUAL TO OR LESS-THAN          , els, eqslantless
U+2A96, SLANTED EQUAL TO OR GREATER-THAN       , egs, eqslantgtr
U+2A97, SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE, elsdot
U+2A98, SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE, egsdot
U+2A99, DOUBLE-LINE EQUAL TO OR LESS-THAN      , el
U+2A9A, DOUBLE-LINE EQUAL TO OR GREATER-THAN   , eg
U+2A9D, SIMILAR OR LESS-THAN                   , siml
U+2A9E, SIMILAR OR GREATER-THAN                , simg
U+2A9F, SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN, simlE
U+2AA0, SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN, simgE
U+2AA1, DOUBLE NESTED LESS-THAN                , LessLess
U+2AA1 U+0338, DOUBLE NESTED LESS-THAN with slash     , NotNestedLessLess
U+2AA2, DOUBLE NESTED GREATER-THAN             , GreaterGreater
U+2AA2 U+0338, DOUBLE NESTED GREATER-THAN with slash  , NotNestedGreaterGreater
U+2AA4, GREATER-THAN OVERLAPPING LESS-THAN     , glj
U+2AA5, GREATER-THAN BESIDE LESS-THAN          , gla
U+2AA6, LESS-THAN CLOSED BY CURVE              , ltcc
U+2AA7, GREATER-THAN CLOSED BY CURVE           , gtcc
U+2AA8, LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL, lescc
U+2AA9, GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL, gescc
U+2AAA, SMALLER THAN                           , smt
U+2AAB, LARGER THAN                            , lat
U+2AAC, SMALLER THAN OR EQUAL TO               , smte
U+2AAC U+FE00, SMALLER THAN OR slanted EQUAL          , smtes
U+2AAD, LARGER THAN OR EQUAL TO                , late
U+2AAD U+FE00, LARGER THAN OR slanted EQUAL           , lates
U+2AAE, EQUALS SIGN WITH BUMPY ABOVE           , bumpE
U+2AAF, PRECEDES ABOVE SINGLE-LINE EQUALS SIGN , pre, preceq, PrecedesEqual
U+2AAF U+0338, PRECEDES ABOVE SINGLE-LINE EQUALS SIGN with slash, npre, npreceq, NotPrecedesEqual
U+2AB0, SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN , sce, succeq, SucceedsEqual
U+2AB0 U+0338, SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN with slash, nsce, nsucceq, NotSucceedsEqual
U+2AB3, PRECEDES ABOVE EQUALS SIGN             , prE
U+2AB4, SUCCEEDS ABOVE EQUALS SIGN             , scE
U+2AB5, PRECEDES ABOVE NOT EQUAL TO            , prnE, precneqq
U+2AB6, SUCCEEDS ABOVE NOT EQUAL TO            , scnE, succneqq
U+2AB7, PRECEDES ABOVE ALMOST EQUAL TO         , prap, precapprox
U+2AB8, SUCCEEDS ABOVE ALMOST EQUAL TO         , scap, succapprox
U+2AB9, PRECEDES ABOVE NOT ALMOST EQUAL TO     , prnap, precnapprox
U+2ABA, SUCCEEDS ABOVE NOT ALMOST EQUAL TO     , scnap, succnapprox
U+2ABB, DOUBLE PRECEDES                        , Pr
U+2ABC, DOUBLE SUCCEEDS                        , Sc
U+2ABD, SUBSET WITH DOT                        , subdot
U+2ABE, SUPERSET WITH DOT                      , supdot
U+2ABF, SUBSET WITH PLUS SIGN BELOW            , subplus
U+2AC0, SUPERSET WITH PLUS SIGN BELOW          , supplus
U+2AC1, SUBSET WITH MULTIPLICATION SIGN BELOW  , submult
U+2AC2, SUPERSET WITH MULTIPLICATION SIGN BELOW, supmult
U+2AC3, SUBSET OF OR EQUAL TO WITH DOT ABOVE   , subedot
U+2AC4, SUPERSET OF OR EQUAL TO WITH DOT ABOVE , supedot
U+2AC5, SUBSET OF ABOVE EQUALS SIGN            , subE, subseteqq
U+2AC5 U+0338, SUBSET OF ABOVE EQUALS SIGN with slash , nsubE, nsubseteqq
U+2AC6, SUPERSET OF ABOVE EQUALS SIGN          , supE, supseteqq
U+2AC6 U+0338, SUPERSET OF ABOVE EQUALS SIGN with slash, nsupE, nsupseteqq
U+2AC7, SUBSET OF ABOVE TILDE OPERATOR         , subsim
U+2AC8, SUPERSET OF ABOVE TILDE OPERATOR       , supsim
U+2ACB, SUBSET OF ABOVE NOT EQUAL TO           , subnE, subsetneqq
U+2ACB U+FE00, SUBSET OF ABOVE NOT EQUAL TO - variant with stroke through bottom members, vsubnE, varsubsetneqq
U+2ACC, SUPERSET OF ABOVE NOT EQUAL TO         , supnE, supsetneqq
U+2ACC U+FE00, SUPERSET OF ABOVE NOT EQUAL TO - variant with stroke through bottom members, vsupnE, varsupsetneqq
U+2ACF, CLOSED SUBSET                          , csub
U+2AD0, CLOSED SUPERSET                        , csup
U+2AD1, CLOSED SUBSET OR EQUAL TO              , csube
U+2AD2, CLOSED SUPERSET OR EQUAL TO            , csupe
U+2AD3, SUBSET ABOVE SUPERSET                  , subsup
U+2AD4, SUPERSET ABOVE SUBSET                  , supsub
U+2AD5, SUBSET ABOVE SUBSET                    , subsub
U+2AD6, SUPERSET ABOVE SUPERSET                , supsup
U+2AD7, SUPERSET BESIDE SUBSET                 , suphsub
U+2AD8, SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET, supdsub
U+2AD9, ELEMENT OF OPENING DOWNWARDS           , forkv
U+2ADA, PITCHFORK WITH TEE TOP                 , topfork
U+2ADB, TRANSVERSAL INTERSECTION               , mlcp
U+2AE4, VERTICAL BAR DOUBLE LEFT TURNSTILE     , Dashv, DoubleLeftTee
U+2AE6, LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL, Vdashl
U+2AE7, SHORT DOWN TACK WITH OVERBAR           , Barv
U+2AE8, SHORT UP TACK WITH UNDERBAR            , vBar
U+2AE9, SHORT UP TACK ABOVE SHORT DOWN TACK    , vBarv
U+2AEB, DOUBLE UP TACK                         , Vbar
U+2AEC, DOUBLE STROKE NOT SIGN                 , Not
U+2AED, REVERSED DOUBLE STROKE NOT SIGN        , bNot
U+2AEE, DOES NOT DIVIDE WITH REVERSED NEGATION SLASH, rnmid
U+2AEF, VERTICAL LINE WITH CIRCLE ABOVE        , cirmid
U+2AF0, VERTICAL LINE WITH CIRCLE BELOW        , midcir
U+2AF1, DOWN TACK WITH CIRCLE BELOW            , topcir
U+2AF2, PARALLEL WITH HORIZONTAL STROKE        , nhpar
U+2AF3, PARALLEL WITH TILDE OPERATOR           , parsim
U+2AFD, DOUBLE SOLIDUS OPERATOR                , parsl
U+2AFD U+20E5, DOUBLE SOLIDUS OPERATOR with reverse slash, nparsl
U+FB00, LATIN SMALL LIGATURE FF                , fflig
U+FB01, LATIN SMALL LIGATURE FI                , filig
U+FB02, LATIN SMALL LIGATURE FL                , fllig
U+FB03, LATIN SMALL LIGATURE FFI               , ffilig
U+FB04, LATIN SMALL LIGATURE FFL               , ffllig
U+1D49C, MATHEMATICAL SCRIPT CAPITAL A          , Ascr
U+1D49E, MATHEMATICAL SCRIPT CAPITAL C          , Cscr
U+1D49F, MATHEMATICAL SCRIPT CAPITAL D          , Dscr
U+1D4A2, MATHEMATICAL SCRIPT CAPITAL G          , Gscr
U+1D4A5, MATHEMATICAL SCRIPT CAPITAL J          , Jscr
U+1D4A6, MATHEMATICAL SCRIPT CAPITAL K          , Kscr
U+1D4A9, MATHEMATICAL SCRIPT CAPITAL N          , Nscr
U+1D4AA, MATHEMATICAL SCRIPT CAPITAL O          , Oscr
U+1D4AB, MATHEMATICAL SCRIPT CAPITAL P          , Pscr
U+1D4AC, MATHEMATICAL SCRIPT CAPITAL Q          , Qscr
U+1D4AE, MATHEMATICAL SCRIPT CAPITAL S          , Sscr
U+1D4AF, MATHEMATICAL SCRIPT CAPITAL T          , Tscr
U+1D4B0, MATHEMATICAL SCRIPT CAPITAL U          , Uscr
U+1D4B1, MATHEMATICAL SCRIPT CAPITAL V          , Vscr
U+1D4B2, MATHEMATICAL SCRIPT CAPITAL W          , Wscr
U+1D4B3, MATHEMATICAL SCRIPT CAPITAL X          , Xscr
U+1D4B4, MATHEMATICAL SCRIPT CAPITAL Y          , Yscr
U+1D4B5, MATHEMATICAL SCRIPT CAPITAL Z          , Zscr
U+1D4B6, MATHEMATICAL SCRIPT SMALL A            , ascr
U+1D4B7, MATHEMATICAL SCRIPT SMALL B            , bscr
U+1D4B8, MATHEMATICAL SCRIPT SMALL C            , cscr
U+1D4B9, MATHEMATICAL SCRIPT SMALL D            , dscr
U+1D4BB, MATHEMATICAL SCRIPT SMALL F            , fscr
U+1D4BD, MATHEMATICAL SCRIPT SMALL H            , hscr
U+1D4BE, MATHEMATICAL SCRIPT SMALL I            , iscr
U+1D4BF, MATHEMATICAL SCRIPT SMALL J            , jscr
U+1D4C0, MATHEMATICAL SCRIPT SMALL K            , kscr
U+1D4C1, MATHEMATICAL SCRIPT SMALL L            , lscr
U+1D4C2, MATHEMATICAL SCRIPT SMALL M            , mscr
U+1D4C3, MATHEMATICAL SCRIPT SMALL N            , nscr
U+1D4C5, MATHEMATICAL SCRIPT SMALL P            , pscr
U+1D4C6, MATHEMATICAL SCRIPT SMALL Q            , qscr
U+1D4C7, MATHEMATICAL SCRIPT SMALL R            , rscr
U+1D4C8, MATHEMATICAL SCRIPT SMALL S            , sscr
U+1D4C9, MATHEMATICAL SCRIPT SMALL T            , tscr
U+1D4CA, MATHEMATICAL SCRIPT SMALL U            , uscr
U+1D4CB, MATHEMATICAL SCRIPT SMALL V            , vscr
U+1D4CC, MATHEMATICAL SCRIPT SMALL W            , wscr
U+1D4CD, MATHEMATICAL SCRIPT SMALL X            , xscr
U+1D4CE, MATHEMATICAL SCRIPT SMALL Y            , yscr
U+1D4CF, MATHEMATICAL SCRIPT SMALL Z            , zscr
U+1D504, MATHEMATICAL FRAKTUR CAPITAL A         , Afr
U+1D505, MATHEMATICAL FRAKTUR CAPITAL B         , Bfr
U+1D507, MATHEMATICAL FRAKTUR CAPITAL D         , Dfr
U+1D508, MATHEMATICAL FRAKTUR CAPITAL E         , Efr
U+1D509, MATHEMATICAL FRAKTUR CAPITAL F         , Ffr
U+1D50A, MATHEMATICAL FRAKTUR CAPITAL G         , Gfr
U+1D50D, MATHEMATICAL FRAKTUR CAPITAL J         , Jfr
U+1D50E, MATHEMATICAL FRAKTUR CAPITAL K         , Kfr
U+1D50F, MATHEMATICAL FRAKTUR CAPITAL L         , Lfr
U+1D510, MATHEMATICAL FRAKTUR CAPITAL M         , Mfr
U+1D511, MATHEMATICAL FRAKTUR CAPITAL N         , Nfr
U+1D512, MATHEMATICAL FRAKTUR CAPITAL O         , Ofr
U+1D513, MATHEMATICAL FRAKTUR CAPITAL P         , Pfr
U+1D514, MATHEMATICAL FRAKTUR CAPITAL Q         , Qfr
U+1D516, MATHEMATICAL FRAKTUR CAPITAL S         , Sfr
U+1D517, MATHEMATICAL FRAKTUR CAPITAL T         , Tfr
U+1D518, MATHEMATICAL FRAKTUR CAPITAL U         , Ufr
U+1D519, MATHEMATICAL FRAKTUR CAPITAL V         , Vfr
U+1D51A, MATHEMATICAL FRAKTUR CAPITAL W         , Wfr
U+1D51B, MATHEMATICAL FRAKTUR CAPITAL X         , Xfr
U+1D51C, MATHEMATICAL FRAKTUR CAPITAL Y         , Yfr
U+1D51E, MATHEMATICAL FRAKTUR SMALL A           , afr
U+1D51F, MATHEMATICAL FRAKTUR SMALL B           , bfr
U+1D520, MATHEMATICAL FRAKTUR SMALL C           , cfr
U+1D521, MATHEMATICAL FRAKTUR SMALL D           , dfr
U+1D522, MATHEMATICAL FRAKTUR SMALL E           , efr
U+1D523, MATHEMATICAL FRAKTUR SMALL F           , ffr
U+1D524, MATHEMATICAL FRAKTUR SMALL G           , gfr
U+1D525, MATHEMATICAL FRAKTUR SMALL H           , hfr
U+1D526, MATHEMATICAL FRAKTUR SMALL I           , ifr
U+1D527, MATHEMATICAL FRAKTUR SMALL J           , jfr
U+1D528, MATHEMATICAL FRAKTUR SMALL K           , kfr
U+1D529, MATHEMATICAL FRAKTUR SMALL L           , lfr
U+1D52A, MATHEMATICAL FRAKTUR SMALL M           , mfr
U+1D52B, MATHEMATICAL FRAKTUR SMALL N           , nfr
U+1D52C, MATHEMATICAL FRAKTUR SMALL O           , ofr
U+1D52D, MATHEMATICAL FRAKTUR SMALL P           , pfr
U+1D52E, MATHEMATICAL FRAKTUR SMALL Q           , qfr
U+1D52F, MATHEMATICAL FRAKTUR SMALL R           , rfr
U+1D530, MATHEMATICAL FRAKTUR SMALL S           , sfr
U+1D531, MATHEMATICAL FRAKTUR SMALL T           , tfr
U+1D532, MATHEMATICAL FRAKTUR SMALL U           , ufr
U+1D533, MATHEMATICAL FRAKTUR SMALL V           , vfr
U+1D534, MATHEMATICAL FRAKTUR SMALL W           , wfr
U+1D535, MATHEMATICAL FRAKTUR SMALL X           , xfr
U+1D536, MATHEMATICAL FRAKTUR SMALL Y           , yfr
U+1D537, MATHEMATICAL FRAKTUR SMALL Z           , zfr
U+1D538, MATHEMATICAL DOUBLE-STRUCK CAPITAL A   , Aopf
U+1D539, MATHEMATICAL DOUBLE-STRUCK CAPITAL B   , Bopf
U+1D53B, MATHEMATICAL DOUBLE-STRUCK CAPITAL D   , Dopf
U+1D53C, MATHEMATICAL DOUBLE-STRUCK CAPITAL E   , Eopf
U+1D53D, MATHEMATICAL DOUBLE-STRUCK CAPITAL F   , Fopf
U+1D53E, MATHEMATICAL DOUBLE-STRUCK CAPITAL G   , Gopf
U+1D540, MATHEMATICAL DOUBLE-STRUCK CAPITAL I   , Iopf
U+1D541, MATHEMATICAL DOUBLE-STRUCK CAPITAL J   , Jopf
U+1D542, MATHEMATICAL DOUBLE-STRUCK CAPITAL K   , Kopf
U+1D543, MATHEMATICAL DOUBLE-STRUCK CAPITAL L   , Lopf
U+1D544, MATHEMATICAL DOUBLE-STRUCK CAPITAL M   , Mopf
U+1D546, MATHEMATICAL DOUBLE-STRUCK CAPITAL O   , Oopf
U+1D54A, MATHEMATICAL DOUBLE-STRUCK CAPITAL S   , Sopf
U+1D54B, MATHEMATICAL DOUBLE-STRUCK CAPITAL T   , Topf
U+1D54C, MATHEMATICAL DOUBLE-STRUCK CAPITAL U   , Uopf
U+1D54D, MATHEMATICAL DOUBLE-STRUCK CAPITAL V   , Vopf
U+1D54E, MATHEMATICAL DOUBLE-STRUCK CAPITAL W   , Wopf
U+1D54F, MATHEMATICAL DOUBLE-STRUCK CAPITAL X   , Xopf
U+1D550, MATHEMATICAL DOUBLE-STRUCK CAPITAL Y   , Yopf
U+1D552, MATHEMATICAL DOUBLE-STRUCK SMALL A     , aopf
U+1D553, MATHEMATICAL DOUBLE-STRUCK SMALL B     , bopf
U+1D554, MATHEMATICAL DOUBLE-STRUCK SMALL C     , copf
U+1D555, MATHEMATICAL DOUBLE-STRUCK SMALL D     , dopf
U+1D556, MATHEMATICAL DOUBLE-STRUCK SMALL E     , eopf
U+1D557, MATHEMATICAL DOUBLE-STRUCK SMALL F     , fopf
U+1D558, MATHEMATICAL DOUBLE-STRUCK SMALL G     , gopf
U+1D559, MATHEMATICAL DOUBLE-STRUCK SMALL H     , hopf
U+1D55A, MATHEMATICAL DOUBLE-STRUCK SMALL I     , iopf
U+1D55B, MATHEMATICAL DOUBLE-STRUCK SMALL J     , jopf
U+1D55C, MATHEMATICAL DOUBLE-STRUCK SMALL K     , kopf
U+1D55D, MATHEMATICAL DOUBLE-STRUCK SMALL L     , lopf
U+1D55E, MATHEMATICAL DOUBLE-STRUCK SMALL M     , mopf
U+1D55F, MATHEMATICAL DOUBLE-STRUCK SMALL N     , nopf
U+1D560, MATHEMATICAL DOUBLE-STRUCK SMALL O     , oopf
U+1D561, MATHEMATICAL DOUBLE-STRUCK SMALL P     , popf
U+1D562, MATHEMATICAL DOUBLE-STRUCK SMALL Q     , qopf
U+1D563, MATHEMATICAL DOUBLE-STRUCK SMALL R     , ropf
U+1D564, MATHEMATICAL DOUBLE-STRUCK SMALL S     , sopf
U+1D565, MATHEMATICAL DOUBLE-STRUCK SMALL T     , topf
U+1D566, MATHEMATICAL DOUBLE-STRUCK SMALL U     , uopf
U+1D567, MATHEMATICAL DOUBLE-STRUCK SMALL V     , vopf
U+1D568, MATHEMATICAL DOUBLE-STRUCK SMALL W     , wopf
U+1D569, MATHEMATICAL DOUBLE-STRUCK SMALL X     , xopf
U+1D56A, MATHEMATICAL DOUBLE-STRUCK SMALL Y     , yopf
U+1D56B, MATHEMATICAL DOUBLE-STRUCK SMALL Z     , zopf
U+1D6AA, MATHEMATICAL BOLD CAPITAL GAMMA        , b.Gamma
U+1D6AB, MATHEMATICAL BOLD CAPITAL DELTA        , b.Delta
U+1D6AF, MATHEMATICAL BOLD CAPITAL THETA        , b.Theta
U+1D6B2, MATHEMATICAL BOLD CAPITAL LAMDA        , b.Lambda
U+1D6B5, MATHEMATICAL BOLD CAPITAL XI           , b.Xi
U+1D6B7, MATHEMATICAL BOLD CAPITAL PI           , b.Pi
U+1D6BA, MATHEMATICAL BOLD CAPITAL SIGMA        , b.Sigma
U+1D6BC, MATHEMATICAL BOLD CAPITAL UPSILON      , b.Upsi
U+1D6BD, MATHEMATICAL BOLD CAPITAL PHI          , b.Phi
U+1D6BF, MATHEMATICAL BOLD CAPITAL PSI          , b.Psi
U+1D6C0, MATHEMATICAL BOLD CAPITAL OMEGA        , b.Omega
U+1D6C2, MATHEMATICAL BOLD SMALL ALPHA          , b.alpha
U+1D6C3, MATHEMATICAL BOLD SMALL BETA           , b.beta
U+1D6C4, MATHEMATICAL BOLD SMALL GAMMA          , b.gamma
U+1D6C5, MATHEMATICAL BOLD SMALL DELTA          , b.delta
U+1D6C6, MATHEMATICAL BOLD SMALL EPSILON        , b.epsi
U+1D6C7, MATHEMATICAL BOLD SMALL ZETA           , b.zeta
U+1D6C8, MATHEMATICAL BOLD SMALL ETA            , b.eta
U+1D6C9, MATHEMATICAL BOLD SMALL THETA          , b.thetas
U+1D6CA, MATHEMATICAL BOLD SMALL IOTA           , b.iota
U+1D6CB, MATHEMATICAL BOLD SMALL KAPPA          , b.kappa
U+1D6CC, MATHEMATICAL BOLD SMALL LAMDA          , b.lambda
U+1D6CD, MATHEMATICAL BOLD SMALL MU             , b.mu
U+1D6CE, MATHEMATICAL BOLD SMALL NU             , b.nu
U+1D6CF, MATHEMATICAL BOLD SMALL XI             , b.xi
U+1D6D1, MATHEMATICAL BOLD SMALL PI             , b.pi
U+1D6D2, MATHEMATICAL BOLD SMALL RHO            , b.rho
U+1D6D3, MATHEMATICAL BOLD SMALL FINAL SIGMA    , b.sigmav
U+1D6D4, MATHEMATICAL BOLD SMALL SIGMA          , b.sigma
U+1D6D5, MATHEMATICAL BOLD SMALL TAU            , b.tau
U+1D6D6, MATHEMATICAL BOLD SMALL UPSILON        , b.upsi
U+1D6D7, MATHEMATICAL BOLD SMALL PHI            , b.phi
U+1D6D8, MATHEMATICAL BOLD SMALL CHI            , b.chi
U+1D6D9, MATHEMATICAL BOLD SMALL PSI            , b.psi
U+1D6DA, MATHEMATICAL BOLD SMALL OMEGA          , b.omega
U+1D6DC, MATHEMATICAL BOLD EPSILON SYMBOL       , b.epsiv
U+1D6DD, MATHEMATICAL BOLD THETA SYMBOL         , b.thetav
U+1D6DE, MATHEMATICAL BOLD KAPPA SYMBOL         , b.kappav
U+1D6DF, MATHEMATICAL BOLD PHI SYMBOL           , b.phiv
U+1D6E0, MATHEMATICAL BOLD RHO SYMBOL           , b.rhov
U+1D6E1, MATHEMATICAL BOLD PI SYMBOL            , b.piv
U+1D7CA, MATHEMATICAL BOLD CAPITAL DIGAMMA      , b.Gammad
U+1D7CB, MATHEMATICAL BOLD SMALL DIGAMMA        , b.gammad
U+207B, SUPERSCRIPT MINUS, supminus
U+2081, SUBSCRIPT ONE, sub1
U+2082, SUBSCRIPT TWO, sub2
U+2083, SUBSCRIPT THREE, sub3
U+2084, SUBSCRIPT FOUR, sub4
U+2085, SUBSCRIPT FIVE, sub5
U+2086, SUBSCRIPT SIX, sub6
U+2087, SUBSCRIPT SEVEN, sub7
U+2088, SUBSCRIPT EIGHT, sub8
U+2089, SUBSCRIPT NINE, sub9
U+00B9, SUPERSCRIPT ONE                        , sup1
U+00B2, SUPERSCRIPT TWO                        , sup2
U+00B3, SUPERSCRIPT THREE                      , sup3
U+2074, SUPERSCRIPT FOUR                      , sup4
U+2075, SUPERSCRIPT FIVE                      , sup5
U+2076, SUPERSCRIPT SIX                      , sup6
U+2077, SUPERSCRIPT SEVEN                      , sup7
U+2078, SUPERSCRIPT EIGHT                      , sup8
U+2079, SUPERSCRIPT NINE                      , sup9


U+1F600, EMOJI, grinning face
U+1F603, EMOJI, grinning face with big eyes
U+1F604, EMOJI, grinning face with smiling eyes
U+1F601, EMOJI, beaming face with smiling eyes
U+1F606, EMOJI, grinning squinting face
U+1F605, EMOJI, grinning face with sweat
U+1F923, EMOJI, rolling on the floor laughing
U+1F602, EMOJI, face with tears of joy
U+1F642, EMOJI, slightly smiling face
U+1F643, EMOJI, upside-down face
U+1F609, EMOJI, winking face
U+1F60A, EMOJI, smiling face with smiling eyes
U+1F607, EMOJI, smiling face with halo

U+1F970, EMOJI, smiling face with hearts
U+1F60D, EMOJI, smiling face with heart-eyes
